Thu Nov 11 18:29:18 2021    output.dat

         200387563 function calls (200265234 primitive calls) in 140.265 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7780    0.014    0.000    0.039    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:2311(__init__)
     3986    0.014    0.000    0.056    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:1061(__get_has_canonical_format)
     6672    0.014    0.000    0.201    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\text.py:173(update)
    26306    0.014    0.000    0.014    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
     8561    0.014    0.000    0.144    0.000 <__array_function__ internals>:2(cumsum)
     3986    0.013    0.000    0.013    0.000 {built-in method scipy.sparse._sparsetools.csr_has_canonical_format}
    11534    0.013    0.000    0.050    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\colors.py:178(to_rgba)
  7646/31    0.013    0.000    0.123    0.004 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing.py:1647(_parseNoCache)
   177814    0.013    0.000    0.013    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing.py:5503(<lambda>)
     1581    0.013    0.000    0.044    0.000 C:\Users\timot\EI_ST5\alpha.py:44(error_k)
    13630    0.012    0.000    0.176    0.000 <__array_function__ internals>:2(sum)
     2738    0.012    0.000    0.020    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:2017(scale)
     3986    0.012    0.000    7.175    0.002 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\base.py:453(__mul__)
     8718    0.012    0.000    0.018    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:849(set_size)
     3986    0.012    0.000    1.935    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\base.py:405(__add__)
     3442    0.012    0.000    0.022    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\lines.py:1111(set_linestyle)
    18940    0.012    0.000    0.013    0.000 {built-in method builtins.max}
    18108    0.012    0.000    0.012    0.000 {method 'match' of 're.Pattern' objects}
     8561    0.012    0.000    0.120    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:2458(cumsum)
    17602    0.012    0.000    0.051    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\colors.py:132(_is_nth_color)
      627    0.012    0.000    0.020    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axes\_base.py:2763(_get_axis_map)
  896/800    0.012    0.000    0.751    0.001 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:813(reset_ticks)
      176    0.012    0.000    0.012    0.000 {built-in method nt.stat}
     3986    0.012    0.000    0.979    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:359(_add_sparse)
    17564    0.011    0.000    0.038    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\re.py:188(match)
     6385    0.011    0.000    0.014    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:831(set_stretch)
  4002/30    0.011    0.000    2.399    0.080 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:33(draw_wrapper)
    17595    0.011    0.000    0.042    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\re.py:289(_compile)
    18729    0.011    0.000    0.016    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\enum.py:358(__call__)
        9    0.011    0.001    0.011    0.001 {method 'encode_to_file' of 'ImagingEncoder' objects}
     7052    0.011    0.000    0.020    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\markers.py:267(_set_fillstyle)
     2466    0.010    0.000    0.170    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\patches.py:772(get_patch_transform)
     2350    0.010    0.000    0.018    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:1131(update_from)
