Fri Nov 12 04:02:17 2021    output.dat

         193316222 function calls (193192901 primitive calls) in 125.045 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3842    0.021    0.000  119.362    0.031 C:\Users\timot\EI_ST5\run_algo_gen.py:13(fitness_function)
    18075    0.021    0.000    0.031    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:1130(score_family)
      261    0.020    0.000    0.024    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    23119    0.020    0.000    0.138    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\numeric.py:149(ones)
  8220/31    0.020    0.000    0.105    0.003 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing.py:1835(_parseCache)
    40295    0.019    0.000    0.060    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:356(pchanged)
   150181    0.019    0.000    0.019    0.000 {method 'pop' of 'dict' objects}
    21894    0.018    0.000    0.028    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1750(__init__)
     6556    0.018    0.000    0.089    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\markers.py:296(_set_marker)
     7965    0.017    0.000    0.044    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:780(__init__)
     3844    0.017    0.000    0.155    0.000 C:\Users\timot\EI_ST5\preprocessing.py:43(_set_coefficients_of_pde)
    23194    0.017    0.000    0.104    0.000 <__array_function__ internals>:2(copyto)
     3844    0.017    0.000    1.653    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\base.py:389(_add_sparse)
     9736    0.017    0.000    0.017    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\cbook\__init__.py:1791(<dictcomp>)
       16    0.016    0.001    0.017    0.001 {built-in method matplotlib._image.resample}
     2494    0.016    0.000    0.231    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:749(set_clip_path)
    40898    0.016    0.000    0.016    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:107(__init__)
    18075    0.015    0.000    0.046    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:1206(score_weight)
    38440    0.015    0.000    0.015    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\_lib\_util.py:143(_prune_array)
     8083    0.015    0.000    0.019    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_api\__init__.py:64(check_isinstance)
    12794    0.015    0.000    0.134    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
    26596    0.015    0.000    0.045    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\contextlib.py:123(__exit__)
    58568    0.015    0.000    0.041    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\abc.py:117(__instancecheck__)
    11568    0.014    0.000    0.034    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\numeric.py:1858(isscalar)
    26596    0.014    0.000    0.046    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\contextlib.py:261(helper)
     2470    0.014    0.000    0.267    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\text.py:129(__init__)
    23203    0.014    0.000    0.014    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:1928(shape)
    30563    0.014    0.000    0.014    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
     6071    0.014    0.000    0.016    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:813(set_weight)
     2452    0.014    0.000    0.561    0.000 C:\Users\timot\EI_ST5\individual_vector.py:77(normalize)
    18964    0.014    0.000    0.191    0.000 <__array_function__ internals>:2(sum)
      460    0.014    0.000   57.613    0.125 C:\Users\timot\EI_ST5\individual_vector.py:50(crossover)
    30752    0.014    0.000    0.014    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\getlimits.py:525(min)
    38440    0.013    0.000    0.013    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\getlimits.py:538(max)
    11848    0.013    0.000    0.051    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\markers.py:238(_recache)
    11532    0.013    0.000    0.049    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\sputils.py:193(isscalarlike)
15706/11091    0.013    0.000    0.016    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:180(_invalidate_internal)
4332/3304    0.013    0.000    0.340    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\spines.py:330(get_spine_transform)
   177833    0.013    0.000    0.013    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing.py:5503(<lambda>)
     7582    0.013    0.000    0.036    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:2311(__init__)
    91527    0.013    0.000    0.013    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_api\deprecation.py:419(<genexpr>)
    17568    0.013    0.000    0.112    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:82(_stale_axes_callback)
     1358    0.013    0.000    0.108    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\lines.py:744(draw)
    30526    0.013    0.000    0.445    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\inspect.py:3038(bind)
     3844    0.013    0.000    0.049    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:1061(__get_has_canonical_format)
9684/9444    0.013    0.000    0.800    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:1152(set)
     1476    0.012    0.000    0.582    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\text.py:287(_get_layout)
     1101    0.012    0.000    0.125    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\text.py:665(draw)
    26596    0.012    0.000    0.067    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\contextlib.py:114(__enter__)
    15376    0.012    0.000    0.023    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\sputils.py:91(to_native)
